epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2221,1.12569,1.64919,0.8471,0.8359,0.70321,0.78099,0.49956,1.00737,0.64847,0.82411,0.00332461,0.00332461,0.00332461
2,114.556,1.17255,0.77508,0.84551,0.84301,0.71533,0.79722,0.47252,1.04817,0.75338,0.83363,0.00662498,0.00662498,0.00662498
3,169.555,1.23223,0.80714,0.85822,0.81876,0.63424,0.71959,0.43305,1.11789,0.83711,0.86761,0.00989236,0.00989236,0.00989236
4,224.629,1.25569,0.82187,0.8627,0.82305,0.63382,0.72296,0.44205,1.08171,0.81039,0.86454,0.0098515,0.0098515,0.0098515
5,279.211,1.16597,0.74067,0.85573,0.84043,0.73927,0.80476,0.5021,1.00585,0.65062,0.8438,0.009802,0.009802,0.009802
6,334.164,1.10485,0.68671,0.84627,0.85766,0.70119,0.79206,0.49889,1.01005,0.69257,0.84361,0.0097525,0.0097525,0.0097525
7,389.04,1.07925,0.6591,0.84068,0.86428,0.7688,0.84331,0.54046,0.93956,0.60261,0.84004,0.009703,0.009703,0.009703
8,443.913,1.06882,0.65922,0.84733,0.87357,0.74454,0.83481,0.55478,0.93346,0.59647,0.8334,0.0096535,0.0096535,0.0096535
9,498.771,1.039,0.63436,0.83499,0.88518,0.78112,0.86039,0.56551,0.90278,0.5538,0.83572,0.009604,0.009604,0.009604
10,553.79,1.03471,0.62268,0.83661,0.88783,0.77913,0.85942,0.55749,0.91613,0.55544,0.83372,0.0095545,0.0095545,0.0095545
11,608.483,1.0036,0.59371,0.83236,0.88566,0.79568,0.86645,0.58035,0.91138,0.55016,0.83739,0.009505,0.009505,0.009505
12,663.247,0.98898,0.58974,0.83354,0.88432,0.80331,0.8718,0.56706,0.87353,0.53316,0.8288,0.0094555,0.0094555,0.0094555
13,718.022,0.97664,0.57872,0.83144,0.88369,0.79617,0.87359,0.58593,0.86965,0.5054,0.82525,0.009406,0.009406,0.009406
14,773.268,0.97174,0.56474,0.82293,0.86646,0.79491,0.86564,0.57167,0.87191,0.53094,0.82762,0.0093565,0.0093565,0.0093565
15,828.319,0.96591,0.55918,0.82664,0.87052,0.82153,0.88038,0.57794,0.8575,0.49703,0.82815,0.009307,0.009307,0.009307
16,883.093,0.94097,0.53725,0.82658,0.87953,0.81152,0.8769,0.5926,0.85182,0.5012,0.82754,0.0092575,0.0092575,0.0092575
17,938.158,0.93226,0.53278,0.82714,0.88158,0.81215,0.8852,0.59254,0.87666,0.4952,0.83399,0.009208,0.009208,0.009208
18,992.988,0.92553,0.53064,0.82697,0.88776,0.83409,0.89618,0.60717,0.84515,0.4784,0.82637,0.0091585,0.0091585,0.0091585
19,1047.87,0.93155,0.53271,0.82562,0.87829,0.82408,0.88369,0.59584,0.84557,0.4939,0.8246,0.009109,0.009109,0.009109
20,1102.36,0.92482,0.52918,0.82389,0.88768,0.82398,0.88813,0.60348,0.82477,0.47584,0.82128,0.0090595,0.0090595,0.0090595
21,1157.21,0.93077,0.52722,0.8265,0.88112,0.82498,0.88485,0.60247,0.82864,0.50515,0.82311,0.00901,0.00901,0.00901
22,1212.05,0.90987,0.51694,0.82188,0.89977,0.83035,0.90308,0.62497,0.82222,0.46036,0.82144,0.0089605,0.0089605,0.0089605
23,1266.83,0.91219,0.51405,0.82007,0.89194,0.84468,0.8999,0.61343,0.827,0.46784,0.82212,0.008911,0.008911,0.008911
24,1321.38,0.90412,0.51226,0.82375,0.90983,0.82806,0.89775,0.61727,0.81252,0.4604,0.82341,0.0088615,0.0088615,0.0088615
25,1376.09,0.8952,0.50374,0.82121,0.91148,0.82715,0.9076,0.61842,0.81926,0.45732,0.82342,0.008812,0.008812,0.008812
26,1431,0.90003,0.50362,0.82012,0.90504,0.83204,0.90667,0.61938,0.80925,0.45325,0.82079,0.0087625,0.0087625,0.0087625
27,1485.89,0.88755,0.50388,0.81832,0.88705,0.84813,0.90904,0.63257,0.80163,0.44864,0.81932,0.008713,0.008713,0.008713
